deltaT,dairy_network,no_of_reachable_nodes
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,2515
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,2994
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,3462
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,1306
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,1942
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,2344
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,2797
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,1018
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,1623
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,2144
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,2532
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,811
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,1246
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,1645
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,2161
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,2580
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,3029
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,1734
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,2029
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,2351
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,11
